date,forecast,lower80,upper80
2025-11-17 15:30:37.214991,81.51937202543196,73.36743482288877,89.67130922797517
2025-11-18 15:30:37.214991,76.00006936667101,68.40006243000391,83.60007630333813
2025-11-19 15:30:37.214991,81.35831184771168,73.22248066294051,89.49414303248285
2025-11-20 15:30:37.214991,82.13258126352,73.91932313716799,90.345839389872
2025-11-21 15:30:37.214991,80.21938288466113,72.19744459619501,88.24132117312725
2025-11-22 15:30:37.214991,83.80895605705457,75.42806045134911,92.18985166276003
2025-11-23 15:30:37.214991,87.02025428407269,78.31822885566542,95.72227971247997
2025-11-24 15:30:37.214991,81.51937202543196,73.36743482288877,89.67130922797517
2025-11-25 15:30:37.214991,76.00006936667101,68.40006243000391,83.60007630333813
2025-11-26 15:30:37.214991,81.35831184771168,73.22248066294051,89.49414303248285
2025-11-27 15:30:37.214991,82.13258126352,73.91932313716799,90.345839389872
2025-11-28 15:30:37.214991,80.21938288466113,72.19744459619501,88.24132117312725
2025-11-29 15:30:37.214991,83.80895605705457,75.42806045134911,92.18985166276003
2025-11-30 15:30:37.214991,87.02025428407269,78.31822885566542,95.72227971247997
2025-12-01 15:30:37.214991,81.51937202543196,73.36743482288877,89.67130922797517
2025-12-02 15:30:37.214991,76.00006936667101,68.40006243000391,83.60007630333813
2025-12-03 15:30:37.214991,81.35831184771168,73.22248066294051,89.49414303248285
2025-12-04 15:30:37.214991,82.13258126352,73.91932313716799,90.345839389872
2025-12-05 15:30:37.214991,80.21938288466113,72.19744459619501,88.24132117312725
2025-12-06 15:30:37.214991,83.80895605705457,75.42806045134911,92.18985166276003
2025-12-07 15:30:37.214991,87.02025428407269,78.31822885566542,95.72227971247997
2025-12-08 15:30:37.214991,81.51937202543196,73.36743482288877,89.67130922797517
2025-12-09 15:30:37.214991,76.00006936667101,68.40006243000391,83.60007630333813
2025-12-10 15:30:37.214991,81.35831184771168,73.22248066294051,89.49414303248285
2025-12-11 15:30:37.214991,82.13258126352,73.91932313716799,90.345839389872
2025-12-12 15:30:37.214991,80.21938288466113,72.19744459619501,88.24132117312725
2025-12-13 15:30:37.214991,83.80895605705457,75.42806045134911,92.18985166276003
2025-12-14 15:30:37.214991,87.02025428407269,78.31822885566542,95.72227971247997
2025-12-15 15:30:37.214991,81.51937202543196,73.36743482288877,89.67130922797517
2025-12-16 15:30:37.214991,76.00006936667101,68.40006243000391,83.60007630333813
