date,value,keyword,ingestion_ts
2025-09-14,66,databricks,2025-11-20T09:04:43.298328
2025-09-21,79,databricks,2025-11-20T09:04:43.298328
2025-09-28,78,databricks,2025-11-20T09:04:43.298328
2025-10-05,69,databricks,2025-11-20T09:04:43.298328
2025-10-12,65,databricks,2025-11-20T09:04:43.298328
2025-10-19,68,databricks,2025-11-20T09:04:43.298328
2025-10-26,62,databricks,2025-11-20T09:04:43.298328
2025-11-02,55,databricks,2025-11-20T09:04:43.298328
2025-11-09,38,databricks,2025-11-20T09:04:43.298328
2025-11-16,39,databricks,2025-11-20T09:04:43.298328
